,Lyrics,Artist,Song
600,"['Toot that thang up mami, make it roll\nOnce you pop pop, lock it for me girl get low\nIf yo mama gave it to you baby girl let it show\nOnce you pop, lock, drop it for me maybe we could roll, oh', 'Pop, lock and drop it\nPop, lock and drop it\nPop, lock and drop it\nPop, lock and drop it\nPop, lock and drop it\nPop, lock and drop it\nPop, lock and drop it\nPop, lock and drop it', ""Tonight it's gon' be some changes\nNo acting sadity\nSo stop acting and get it clappin'\n'Cause I'm knowing you feeling me"", ""Yeah you cute\nBut don't let that sh** go to yo head\n'Cause what this cutie won't do pimpin'\nAnother one will"", ""You prepared, rockin' a skirt\nAnd ya heels so tall\nAnd we ain't wit none of that tricking\nBut our bills so tall"", ""I been peepin' you fo a while\nAnd you throwin' it back\nIf you lookin' fo you a balla\nWe got dough in da back"", ""Look yo color Carmelo brown\nAnd yo skin so smooth\nI'm havin' fantasies about\nWhat you and me can do"", ""And you a undacover freak\nYou probably thinking da same\nI'm seein' light up on yo face\nBecause you peepin' my chain"", ""And I ain't tryna put you out there\nAs if you a freak\nSo don't even take it that way\nJus' say you did it fo' me"", ""And yeah you probably roll wit me\n'Cause it's money in my pockets\nSo before then\nI gotta see you pop, lock and drop it"", 'Toot that thang up mami, make it roll\nOnce you pop pop, lock it for me girl get low\nIf yo mama gave it to you baby girl let it show\nOnce you pop, lock, drop it for me maybe we could roll, oh', 'Pop, lock and drop it\nPop, lock and drop it\nPop, lock and drop it\nPop, lock and drop it\nPop, lock and drop it\nPop, lock and drop it\nPop, lock and drop it\nPop, lock and drop it', ""I ain't gotta be yo man\nBut I really wouldn't mind\nWe ain't got to talk again\nI'm jus tryna have a time"", ""If you a balla pull a stack out\nAnd slap her on da ayyy\nPop lockin' cock blockas\nGet up out da way"", ""Let lil' mami get low\nGive her space, let her sweat\nThe club turnin' to Hooters\n'Cause they shirts is so wet"", ""From da window to da wall\nLil' mama showin' her thong\nThe broad freakin' herself\nIt's tellin' me that it's on"", ""You ready then we can roll\nI'm tellin' you we could go\nI'm thinkin' if I can handle it\nThe way you make it roll"", ""You groovin' and speedin' up\nYou right in between us\nIf you a stripteasa\nThen baby don't tease us"", ""At first I thought I was trippin'\nBut my vision gettin' clearer\nYou moving that thang around\nAs if you practice in da mirror"", ""She doin' a new dance\nWhat the next man said\nI'm like naw\nShe just pop locking on a headstand"", 'Toot that thang up mami, make it roll\nOnce you pop pop, lock it for me girl get low\nIf yo mama gave it to you baby girl let it show\nOnce you pop, lock, drop it for me maybe we could roll, oh', 'Pop, lock and drop it\nPop, lock and drop it\nPop, lock and drop it\nPop, lock and drop it\nPop, lock and drop it\nPop, lock and drop it\nPop, lock and drop it\nPop, lock and drop it', ""Make it roll to da left, left\nRoll to da right, right\nPop, lock and drop it\nGet low a'ight"", ""Make it roll to da left, left\nRoll to da right, right\nPop, lock and drop it\nGet low a'ight"", ""It ain't tricking if you got it\nWe got it but I ain't givin'\nJust bounce it and roll wit it\nAnd maybe you'll roll wit us"", ""It ain't tricking if you got it\nWe got it and I ain't givin'\nJust bounce it and roll wit it\nAnd maybe you'll roll wit us"", 'Pop, lock and drop it\nNow pop, lock and drop it fo me\nPop, lock and drop it\nSay pop, lock and drop it', ""Now what's yo name girl?\nNeva mind, neva mind\nDo you thang girl fire\nYou ain't neva lied"", ""What's yo name girl?\nNeva mind, neva mind\nDo you thang girl fire\nYou ain't neva lied, oh""]",Huey,"Pop, Lock & Drop It"
601,"[""I'm through with standing in line\nTo clubs we'll never get in\nIt's like the bottom of the ninth\nAnd I'm never gonna win\nThis life hasn't turned out\nQuite the way I want it to be"", '(Tell me what you want)', 'I want a brand new house\nOn an episode of cribs\nAnd a bathroom I can play baseball in\nAnd a king size tub big enough\nFor ten plus me', '(So what do you need)', ""I'll need a credit card that's got no limit\nAnd a big black jet with a bedroom in it\nGonna join the mile high club\nAt thirty-seven thousand feet"", '(been there, done that)', 'I want a new tour bus full of old guitars\nMy own star on hollywood boulevard\nSomewhere between Cher and\nJames Dean is fine for me', '(So how you gonna do it)', ""I'm gonna trade this life for fortune and fame\nI'd even cut my hair and change my name\n'cause we all just wanna be big rockstars\nAnd live in hilltop houses driving fifteen cars\nThe girls come easy and the drugs come cheap\nWe'll all stay skinny 'cause we just won't eat\nAnd we'll hang out in the coolest bars\nIn the V.I.P. with the movie stars\nEvery good gold digger's\nGonna wind up there\nEvery playboy bunny\nWith her bleach blond hair\nHey, hey I wanna be a rockstar\nHey, hey I wanna be a rockstar"", ""I wanna be great like Elvis without the tassels\nHire eight body guards that love to beat up assholes\nSign a couple autographs\nSo I can eat my meals for free\nI think I'm gonna dress my ass\nWith the latest fashion\nGet a front door key to the playboy mansion\nGonna date a centerfold that loves to\nBlow my money for me"", '(So how you gonna do it?)', ""I'm gonna trade this life\nFor fortune and fame\nI'd even cut my hair\nAnd change my name"", ""'cause we all just wanna be big rockstars\nAnd live in hilltop houses driving fifteen cars\nThe girls come easy and the drugs come cheap\nWe'll all stay skinny 'cause we just won't eat\nAnd we'll hang out in the coolest bars\nIn the V.I.P. with the movie stars\nEvery good gold digger's\nGonna wind up there\nEvery playboy bunny\nWith her bleach blond hair\nAnd we'll hide out in the private rooms\nWith the latest dictionary and\nToday's who's who\nThey'll get you anything\nWith that evil smile\nEverybody's got a\nDrug dealer on speed dial\nHey hey I wanna be a rockstar"", ""I'm gonna sing those songs\nThat offend the censors\nGonna pop my pills\nFrom a pez dispenser\nI'll get washed-up singers writing all my songs\nLip sing em every night so I don't get 'em wrong"", ""'cause we all just wanna be big rockstars\nAnd live in hilltop houses driving fifteen cars\nThe girls come easy and the drugs come cheap\nWe'll all stay skinny 'cause we just won't eat\nAnd we'll hang out in the coolest bars\nIn the V.I.P. with the movie stars\nEvery good gold digger's\nGonna wind up there\nEvery playboy bunny\nWith her bleach blond hair\nAnd we'll hide out in the private rooms\nWith the latest dictionary and\nToday's who's who\nThey'll get you anything\nWith that evil smile\nEverybody's got a\nDrug dealer on speed dial\nHey hey I wanna be a rockstar\nHey hey I wanna be a rockstar""]",Nickelback,Rockstar
602,"['I\'m gonna make you bend and break\n(It sent you to me without wings)\nSay a prayer, but let the good times roll\nIn case God doesn\'t show\n(Let the good times roll)\n(Let the good times roll)\nAnd I want these words to make things right\nBut it\'s the wrongs that make the words come to life\n""Who does he think he is?""\nIf that\'s the worst you\'ve got better put your fingers back to the keys', 'One night and one more time\nThanks for the memories\nEven though they weren\'t so great\n""He tastes like you only sweeter""\nOne night, yeah, and one more time\nThanks for the memories\nThanks for the memories\nSee, ""He tastes like you only sweeter""', ""I'm looking forward to the future,\nBut my eyesight is going bad\nAnd this crystal ball\nIt's always cloudy except for\n(Except for)\nWhen you look into the past\n(Look into the past)\nOne night stand\n(One night stand off)"", 'One night and one more time\nThanks for the memories\nEven though they weren\'t so great\n""He tastes like you only sweeter""\nOne night, yeah, and one more time\nThanks for the memories\nThanks for the memories\nSee, ""He tastes like you only sweeter""', ""They say I only think\nIn the form of crunching numbers\nIn hotel rooms\nCollecting page six lovers\nGet me out of my mind\nGet you out of those clothes\nI'm a liner away from\nGetting you into the mood\nWhoa!"", 'One night and one more time\nThanks for the memories\nEven though they weren\'t so great\n""He tastes like you only sweeter""\nOne night, yeah, and one more time\nThanks for the memories\nThanks for the memories\nSee, ""He tastes like you only sweeter""', 'One night and one more time (One more night, one more time)\nThanks for the memories\nEven though they weren\'t so great\n""He tastes like you only sweeter""\nOne night, yeah, and one more time (One more night, one more time)\nThanks for the memories (For the memories)\nThanks for the memories (For the memories)\nSee, ""He tastes like you only sweeter""']",Fall Out Boy,Thnks Fr Th Mmrs
603,"[""In this farewell\nThere's no blood, there's no alibi\n'Cause I've drawn regret\nFrom the truth of a thousand lies"", ""So let mercy come and wash away\nWhat I've done"", ""I'll face myself\nTo cross out what I've become\nErase myself\nAnd let go of what I've done"", 'Put to rest\nWhat you thought of me\nWhile I clean this slate\nWith the hands of uncertainty', ""So let mercy come and wash away\nWhat I've done"", ""I'll face myself\nTo cross out what I've become\nErase myself\nAnd let go of what I've done"", ""For what I've done"", ""I start again\nAnd whatever pain may come\nToday this ends\nI'm forgiving what I've done"", ""I'll face myself\nTo cross out what I've become\nErase myself\nAnd let go of what I've done\n(Na-na na na)\n(Na-na na na)\n(Na-na na na)"", ""What I've done\n(Na-na na na)\n(Na-na na na)"", ""Forgiving what I've done\n(Na-na na na)\n(Na-na na na)\n(Na-na na na)\n(Na-na na)""]",Linkin Park,What I’ve Done
604,"[""Ridin' in the drop top with the top down\nSaw you switchin' lanes, girl\nPull up to the red light, lookin' right\nCome here, let me get your name, girl"", 'Tell me where you from, what you do, what you like\nLet me pick your brain, girl\nAnd tell me how they got that pretty little face\nOn that pretty little frame, girl', ""Well, let me show you 'round, let me take you out\nBet you we can have some fun, girl\n'Cause we can do it fast, fast, slow\nWhichever way you wanna run, girl"", ""But let me buy you drinks, better yet rings\nDo it how you want it done, girl\nAnd who would've thought that you could be the one\n'Cause I"", ""I can't wait to fall in love with you\nYou can't wait to fall in love with me\nThis just can't be summer love, you see\nThis just can't be summer love\n(L O V E)"", ""Come on and lemme show you 'round\nLet me take you out, bet you we can have some fun, girl\n'Cause we can dress it up, we can dress it down\nAny way you want it done, girl"", ""Or we can stay home, talkin' on the phone\nRappin' 'til we see the sun, girl\nDo what I gotta do, just gotta show you\nThat I'm the one, girl"", ""Well, I'ma freak it right, each and every night\nI know how to do it insane, girl\n'Cause I can make it hot, make it stop\nMake you wanna say my name, girl"", ""Come on baby please 'cause I'm on my knees\nCan't get you off my brain, girl\nBut who would've thought that you could be the one\n'Cause I"", ""I can't wait to fall in love with you\nYou can't wait to fall in love with me\nThis just can't be summer love, you'll see\nThis just can't be summer love\n(L O V E)"", ""'Cause I can't wait to fall in love with you\nYou can't wait to fall in love with me\nThis just can't be summer love, you'll see\nThis just can't be summer love\n(L O V E)"", ""The summer's over for the both of us\nBut that doesn't mean we should give up on love\nYou're the one that I've been thinking of\nAnd I knew the day I met you you'd be the one, oh!\nI can't wait to fall in love with you\nYou can't wait to fall in love with me\nThis just can't be summer love, you'll see\nThis just can't be summer love\n(L O V E)\n'Cause I can't wait to fall in love with you\nYou can't wait to fall in love with me\nThis just can't be summer love, you'll see\nThis just can't be summer love\n(L O V E)""]",Justin Timberlake,Summer Love
605,"[""I never felt nothing in the world like this before\nNow I'm missing you and I'm wishing you would come back through my door\nOooooo\nWhy did you have to go?\nYou could have let me know\nSo now I'm all alone\nGirl you could have stayed but you wouldn't give me a chance\nWith you not around it's a little bit more than I can stand\nOooooo\nAnd all my tears they\nKeep running down my face\nWhy did you turn away?\nSo why does your pride make you run and hide?\nAre you that afraid of me?\nBut I know it's a lie\nWhat you keep inside\nThis is not how you want it to be"", ""So baby I will wait for you\nCause I don't know what else I can do\nDon't tell me I ran out of time\nIf it takes the rest of my life\nBaby I will wait for you\nIf you think I'm fine it just ain't true\nI really need you in my life\nNo matter what I have to do\nI'll wait for you"", 'Been a long time since you called me\n(How could you forget about me)\nYou gotta be feeling crazy (crazy)\nOooooo\nHow can you walk away\nEverything stays the same', ""I just can't do it baby\nWhat will it take to make you come back\nGirl I told you what it is and it just ain't like that\nOooooo\nWhy can't you look at me\nYou're still in love with me"", ""Don't leave me crying.\nBaby why can't we just\nJust start over again\nGet it back to the way it was\nIf you give me a chance\nI can love you right"", ""But you're telling me it won't be enough\nSo baby I will wait for you\nCause I don't know what else I can do\nDon't tell me I ran out of time\nIf it takes the rest of my life\nBaby I will wait for you\nIf you think I'm fine it just ain't true\nI really need you in my life\nNo matter what I have to do"", ""I'll wait for you\nSo why does your pride make you run & hide\nAre you that afraid of me?\nBut I know it's a lie\nWhat you're keeping inside"", ""That is not how you want it to be\nBaby I will wait for you\nOooooo\nBaby I will wait for you\nIf it's the last thing I do\nBaby I will wait for you\nIf you think I'm fine it just ain't true\nI really need you in my life\nNo matter what I have to do, I'll wait for you\nI'll Be Waiting.""]",Elliott Yamin,Wait For You
606,"[""Last night.\nI couldn't even get an answer.\nI tried to call but my pride wouldn't let me dial.\nAnd I'm sitting here with this blank expression.\nAnd the way I feel, I wanna curl up like a child."", ""I know you can hear me.\nI know you can feel me.\nI can't live without you.\nGod, please make me betta.\nI wish I wasn't the way I am."", ""(Keyshia Cole:)\nIf I told you once, I told you twice.\nYou can see it in my eyes.\nI'm all cried out with nothing to say.\nYou're everything I wanted to be.\nIf you could only see your hearts belongs to me.\nI love you so much.\nI'm yearning for your touch.\nCome and set me free.\nForever yours I'll be.\nBaby, won't you come and take this pain away."", ""(Diddy:)\nLast night.\nI couldn't even get an answer. (You said you couldn't get an answer baby)\nI tried to call but my pride wouldn't let me dial. (But that should never stop you)\nAnd I'm sitting here with this blank expression. (Sitting there, I can't reach your mind baby)\nAnd the way I feel, I wanna curl up like a child. (The way I feel, a baby)"", '(Keyshia Cole:)\nI need you and you need me.\nThis is so plain to see.\nAnd I would never let you go.\nAnd I will always love you so.\nI will...', ""If you could only see your hearts belongs to me.\nI love you so much.\nI'm yearning for your touch.\nCome and set me free.\nForever yours I'll be.\nBaby, won't you come and take this pain away."", ""(Diddy:)\nLast night. (Oh, last night)\nI couldn't even get an answer. (Baby why you wanna do me, yeah)"", ""I tried to call but my pride wouldn't let me dial. (Why won't you just call me baby oh?)\nAnd I'm sitting here with this blank expression. (Don't sit there baby, no, no, no)\nAnd the way I feel, I wanna curl up like a child. (Alright, I'm so alone; I'm so lonely, baby)"", ""(Bridge:)\nTell me what there is to say to make you come back.\nDon't break me like that.\nAnd if it matters I'd rather spend my life with you.\nI'm never alone.\nWhenever you're home just phone me."", ""(Diddy:)\nLast night. (Yeah)\nI couldn't even get an answer. (Couldn't get an answer baby, oh)\nI tried to call but my pride wouldn't let me dial. (Call me baby, why couldn't you just dial\nme baby, baby, baby, baby, baby, baby)\nAnd I'm sitting here with this blank expression. (Don't sit there, no)\nAnd the way I feel, I wanna curl up like a child. (Alright, I'm so alone, I'm so lonely baby)"", '(Keyshia Cole:)\nI need you and you need me. (Need you, I need you)\nThis is so plain to see.\nAnd I would never let you go.\nAnd I will always love you so.\nI will...', ""If you could only see your hearts belongs to me. (Only see)\nI love you so much. (So, so)\nI'm yearning for your touch.\nCome and set me free.\nForever yours I'll be.\nBaby, won't you come and take my pain away. (Hey)"", ""(Diddy:)\nLast night.\nI couldn't even get an answer. (I couldn't catch you baby, no)\nI tried to call but my pride wouldn't let me dial. (Call me baby, why couldn't you just dial\nme baby, baby, baby, baby, baby, baby)\nAnd I'm sitting here with this blank expression. (Don't sit there, no)\nAnd the way I feel, I wanna curl up like a child. (Alright, I'm so alone; I'm so lonely, baby)"", ""(Keyshia Cole:)\nWhy don't you pick up the phone and dial up my number?\nAnd call me my baby.\nI'm waiting on you.\nWhy don't you pick up the phone and dial up my number?\nJust call me up baby.\nI'm waiting on you.""]",Diddy feat. Keyshia Cole,Last Night
607,"['Ooooooowwwwwwww!', ""(Ha ha ha, yeah)\nScotty (Yeah)\nLet's make it rain on these niggas (Joey Crack)"", ""Yeah, I'm in the business of terror\nGot a hand full of stacks better grab an umbrella\nI make it rain, I make it rain (Oh)\nI'm in this bitch with the Terror"", 'Got a handful of stacks better grab an umbrella\nI make it rain, I make it rain (Oh)\nMake it rain on them hoes\nI make it rain, I make it rain (Oh)', 'I make it rain on them hoes\nI make it rain, I make it rain (Oh)\nI make it rain on them hoes\nI make it rain, I make it rain (Oh)', 'I make it rain on them hoes', 'Cr-cr-crack-crack-crack-crack-crack\nYou hear that echo, man', ""I seen the best go, cause he ain't had that metal\nI'm a hustler's hustler\nA pusher's pusher\nYou a buster a customer"", ""I get you some cook up\nYeah Crack is a chemist\nI pack an eleven\nI'm mackin' the seven"", ""I'll clap at your residence\nI see you in N-Y, I'll send you an invite\nYou gon' need you a pass, that's the code that we live by\nYeah, I'm in the business of terror"", ""Got a hand full of stacks better grab an umbrella\nI make it rain, I make it rain (Oh)\nI'm in this bitch with the Terror\nGot a handful of stacks better grab an umbrella"", 'I make it rain, I make it rain (Oh)\nMake it rain on them hoes\nI make it rain, I make it rain (Oh)\nI make it rain on them hoes', 'I make it rain, I make it rain (Oh)\nI make it rain on them hoes\nI make it rain, I make it rain (Oh)\nI make it rain on them hoes', 'Ooooooowwwwwwww!\nClap, clap, clap\nGotta make that ass clap\nGotta make that ass clap', ""Clap, clap, clap, clap (Yeah)\nGotta make that ass clap (Yeah)\nGotta make that ass clap\nNow why's everybody so mad at the South for\nChange your style up, switch to southpaw\nJada I was listenin' listenin'\nSo I made him an anthem to make some dividends\nLil' mama try to hit me with the Shoulder Lean\nThis Cut-Co-Crack and I control the team\nCouple bricks stacked on that triple beam\nMy dirty bro sippin' that promethazine\nThat gonja green\nThat Cali Weed\nA nigga lose his life try roll on me\nNow yup, yup we get it\nNo if ands about it\nAnd the rain keep fallin' even when it's droughted\nYeah, I'm in the business of terror\nGot a hand full of stacks better grab an umbrella\nI make it rain, I make it rain (Oh)\nI'm in this bitch with the Terror\nGot a handful of stacks better grab an umbrella\nI make it rain, I make it rain (Oh)\nMake it rain on them hoes\nI make it rain, I make it rain (Oh)\nI make it rain on them hoes\nI make it rain, I make it rain (Oh)\nI make it rain on them hoes\nI make it rain, I make it rain (Oh)\nI make it rain on them hoes\nMami's body's bangin' she got it man she does it all\nShe gets it poppin' with no hands\nI make it pour\nI make it rain on 'em,\nI'm layin' game to 'em\nI got some misses to tattoo my name on 'em\nGotta get that baby love\nGotta get my paper up\nGotta six strap case, just in case guys hate Crack and wanna rain on us\nAnd you know what it is yeah it's them powder kids\nAnd we know how to biz and we don't give a shit\nYeah, I'm in the business of terror\nGot a hand full of stacks better grab an umbrella\nI make it rain, I make it rain (Oh)\nI'm in this bitch with the Terror\nGot a handful of stacks better grab an umbrella\nI make it rain, I make it rain (Oh)\nMake it rain on them hoes\nI make it rain, I make it rain (Oh)\nI make it rain on them hoes\nI make it rain, I make it rain (Oh)\nI make it rain on them hoes\nI make it rain, I make it rain (Oh)\nI make it rain on them hoes\nOwwww!\nCalca?\nTS BX niggas\nKhaled!\nScott Storch, my nigga\nTony Sunshine, I see you nigga\nAhha""]",Fat Joe feat. Lil Wayne,Make It Rain
608,"['Timbo, hey, Ne-Yo\nSay what, Loso, hey, hey', ""I'm a movement by myself, ooh\nBut I'm a force when we're together\nMami, I'm good all by myself, ooh\nBut baby, you, you make me better"", '(You make me better)\nYou make me better\n(You make me better)\nYou make me better', '(You make me better)\nYou make me better\n(You make me better)\nYou make me better', ""You plus me, it equals better math\nYour boy, a good look but she my better half\nI'm already bossin', already flossin'\nBut why have the cake if it ain't got the sweet frostin'?"", ""(You're, you're, you're, you're)\nKeepin' me on my A game\n(With, with, with, with)\nWithout havin' the same name"", ""(That, that, that, that, that)\nThat ain't a fling\n(But, but, but, but)\nBut shorty, we burn it up"", ""The sag in my swag, pep in my step\nDaddy do the Gucci, mami in Gisettes\nGuess it's a G thing, whenever we swing\nI'ma need Coretta Scott if I'm 'gon be king"", ""I'm a movement by myself, ooh\nBut I'm a force when we're together\nMami, I'm good all by myself, ooh\nBut baby, you, you make me better"", '(You make me better)\nYou make me better\n(You make me better)\nYou make me better', '(You make me better)\nYou make me better\n(You make me better)\nYou make me better', ""First thing's first, I does what I do\nBut everything I am, she's my improve\nI'm already bossin', I'm already fly\nBut if I'm a star, she is the sky"", ""(I, I, I)\nAnd when I feel like I'm on top\n(She, she, she)\nShe give me reason, then I stop"", ""(And, and, and, and, and)\nAnd though I'm hot\n(To, to, to)\nTogether, we burn it up"", ""The caked up cut, the cleaned up ice\nThe shorty come around, I clean up nice\nDynamic duo, Batman and Robin\nWhoever don't like it, it's that man's problem"", ""(And, and, and)\nAnd when I feel like I'm tired\n(My, my, my)\nMy baby's takin' me higher"", ""(I, I, I, I, I)\nI'm on fire\n(But, but, but)\nBut shorty, we burn it up"", ""I'm a movement by myself, ooh\nBut I'm a force when we're together\nMami, I'm good all by myself, ooh\nBut baby, you, you make me better"", '(You make me better)\nYou make me better\n(You make me better)\nYou make me better', '(You make me better)\nYou make me better\n(You make me better)\nYou make me better', ""I said beside every great man, you could find a woman\nLike a soldier holdin' him down"", ""She treats me like a don, watches for the hit\nChecks where I go, even watches who I'm with\nThe right when I'm wrong, so I never slip\nShow me how to move, that's why I never trip"", 'And baby girl, you so major, they should front page ya\n(Front page ya)\nGod bless the parents who made ya\n(Who made ya)', 'Middle finger, anybody who hate the\n(Who hate the)\nWay we burn it up', ""I'm a movement by myself, ooh\nBut I'm a force when we're together\nMami, I'm good all by myself, ooh\nBut baby, you, you make me better"", '(You make me better)\nYou make me better\n(You make me better)\nYou make me better', '(You make me better)\nYou make me better\n(You make me better)\nYou make me better', ""Yeah, baby, them lames you playin' with\nThey gon' push you down\nWe tryin' to compliment you\nYou know, make you better"", ""Top notch Tim, nice look Ne-Yo\nLivin' good, Loso\nThey ask you how you doin' now\nTell 'em, better than them"", ""I'm a movement by myself, ooh\nBut I'm a force when we're together\nMami, I'm good all by myself, ooh\nBut baby, you, you make me better"", '(You make me better)\nYou make me better\n(You make me better)\nYou make me better', '(You make me better)\nYou make me better\n(You make me better)\nYou make me better']",Fabolous feat. Ne-Yo,Make Me Better
609,"[""Fussin' and fightin', we back at it again\nI know that, it's my fault, but you don't understand (no)\nI got memories, this is crazy\nYou ain't nothing like the girl I used to know\nGood with ma, good with pa, cool with all my niggas\nI should try, truth is I wanna let u in, but no\nDamn these memories, and it's crazy\nYou ain't nothing like the girl I used to know"", ""Girl I really wanna work this out, cause I'm tired of fightin'\nAnd I really hope you still want me the way I want you\nI said I really wanna work this out, damn girl I'm tryin'\nIt's no excuse, no excuse\nBut I got this"", ""I got this icebox where my heart used to be (but I got this)\nI got this icebox where my heart used to be (said I got this)\nI'm so cold, I'm so cold, I'm so cold, I'm so cold\nI'm so cold, I'm so cold, I'm so cold"", ""Why can't I get it right, just can't let it go\nI opened up, she let me down, I won't feel that no more\nI got memories, this is crazy\nShe ain't nothing like the girl I used to know\nI don't mean to take it out on you baby but I can't help it\n'Cause my heart is in the same ol' condition that baby left it\nAnd I, I apologize, for makin' you cry\nLook me in my eye and promise you won't do me the same"", ""Girl I really wanna work this out, 'cause I'm tired of fightin'\nAnd I really hope you still want me the way I want you\nI said I really wanna work this out, damn girl I'm tryin'\nIt's no excuse, no excuse\nBut I got this"", ""I got this icebox where my heart used to be (but I got this)\nI got this icebox where my heart used to be (said I got this)\nI'm so cold, I'm so cold, I'm so cold, I'm so cold\nI'm so cold, I'm so cold, I'm so cold"", ""I don't wanna be stuck up in this cold cold world ('cause I don't wanna be) Don't wanna mess this up better keep your eye on me girl Girl I really wanna work this out, cause I'm tired of fightin'\nAnd I really hope you still want me the way I want you\nI said I really wanna work this out, damn girl I'm tryin'\nIt's no excuse, no excuse\nBut I got this"", ""I got this icebox where my heart used to be (but I got this)\nI got this icebox where my heart used to be (said I got this)\nI'm so cold, I'm so cold, I'm so cold, I'm so cold\nI'm so cold, I'm so cold, I'm so cold""]",Omarion,Ice Box
610,"[""Honey, why you calling me so late?\nIt's kind of hard to talk right now\nHoney, why you crying? Is everything OK?\nI got to whisper 'cause I can't be too loud"", ""Oh well, my girl's in the next room\nSometimes, I wish she was you\nI guess we never really moved on"", ""It's really good to hear your voice saying my name\nIt sounds so sweet\nComing from the lips of an angel\nHearing those words; it makes me weak\nAnd I never want to say goodbye\nBut girl, you make it hard to be faithful\nWith the lips of an angel"", ""It's funny that you're calling me tonight\nAnd yes, I dreamt of you too\nAnd does he know you're talking to me?\nWill it start a fight?\nNo, I don't think she has a clue"", ""Oh well, my girl's in the next room\nSometimes, I wish she was you\nI guess we never really moved on"", ""It's really good to hear your voice saying my name\nIt sounds so sweet\nComing from the lips of an angel\nHearing those words; it makes me weak\nAnd I never wanna say goodbye\nBut girl, you make it hard to be faithful\nWith the lips of an angel"", ""It's really good to hear your voice saying my name\nIt sounds so sweet\nComing from the lips of an angel\nHearing those words; it makes me weak\nAnd I never wanna say goodbye\nBut girl, you make it hard to be faithful\nWith the lips of an angel\n(And I never wanna say goodbye)\nBut girl, you make it hard to be faithful\nWith the lips of an angel\nHoney, why you calling me so late?""]",Hinder,Lips Of An Angel
611,"['""One, two, one two three""', ""Me and all my friends\nWe're all misunderstood\nThey say we stand for nothing, and\nThere's no way we ever could"", ""Now we see everything that's going wrong\nWith the world and those who lead it\nWe just feel like we don't have the means\nTo rise above and beat it"", ""So we keep on waiting (waiting)\nWaiting on the world to change\nWe keep on waiting (waiting)\nWaiting on the world to change\nIt's hard to be persistent\nWhen we're standing at a distance\nSo we keep on waiting (waiting)\nWaiting on the world to change"", ""Now if we had the power\nTo bring our neighbors home from war\nThey would've never missed a Christmas\nNo more ribbons on their door\nAnd when you trust your television\nWhat you get is what you got\nCause when they own the information, oh\nThey can bend it all they want"", ""That's why we're waiting (waiting)\nWaiting on the world to change\nWe keep on waiting (waiting)\nWaiting on the world to change\nIt's not that we don't care\nWe just know that the fight ain't fair\nSo we keep on waiting (waiting)\nWaiting on the world to change"", ""And we're still waiting (waiting)\nWaiting on the world to change\nWe keep on waiting (waiting)\nWaiting on the world to change\nOne day our generation\nIs gonna rule the population\nSo we keep on waiting (waiting)\nWaiting on the world to change\nWe keep on waiting (waiting)\nWaiting on the world to change.""]",John Mayer,Waiting On The World To Change
612,"[""I'm lost without you\nCan't help myself\nHow does it feel?\nTo know that I love ya baby\nI'm lost without you\nCan't help myself\nHow does it feel?\nTo know that I love ya baby\nTell me how you love me more\nAnd how you think I'm sexy baby\nBut you don't want nobody else\nYou don't want this guy\nYou don't want that guy\nYou wanna touch yourself when you see me\nTell me how you love my body\nAnd how I make you feel baby\nYou wanna roll with me\nYou wanna to hold with me\nYou wanna stay warm and get out of the cold with me\nI just love to hear you say it\nIt makes a man feel good baby\nTell me you depend on me\nI need to hear it\nI'm lost without you\nCan't help myself\nHow does it feel?\nTo know that I love ya baby\nI'm lost without you\nCan't help myself\nHow does it feel?\nTo know that I love ya baby\nBaby you're the perfect shape\nBaby you're the perfect weight\nTreat me like my birthday\nI want it this way\nI want it that way\nI want it\nTell me you don't want me to stop\nTell me it would break your heart\nBut you love me and all my dirty\nYou wanna roll with me\nYou wanna hold with me\nYou want to make fires and get norwegian wood with me\nI just love to hear you say it\nIt makes a man feel good baby\nI'm lost without you\nCan't help myself\nHow does it feel?\nTo know that I love ya baby\nI'm lost without you\nCan't help myself\nHow does it feel?\nTo know that I love ya baby\nCause you will tell me every morning\nOooohhh aww yeah baby\nOoooh yeah\nOh baby\nOh darlin\nAll right right\nI'm lost without you\nCan't help myself\nHow does it feel?\nTo know that I love ya baby\nI'm lost without you\nCan't help myself\nHow does it feel?\nTo know that I love ya baby""]",Robin Thicke,Lost Without U
